19.02, 85.66
19.88, 85.66
20.78, 85.66
21.72, 85.66
22.70, 85.59
23.73, 85.51
24.81, 85.48
25.93, 85.48
27.11, 85.38
28.33, 85.31
29.62, 85.30
30.96, 85.14
32.36, 85.09
33.83, 84.98
35.36, 84.92
36.96, 84.79
38.63, 84.63
40.38, 84.50
42.21, 84.38
44.12, 84.22
46.12, 84.07
48.21, 83.91
50.39, 83.73
52.68, 83.53
55.06, 83.34
57.56, 83.14
60.16, 82.97
62.89, 82.70
65.73, 82.49
68.71, 82.28
71.82, 82.01
75.07, 81.76
78.47, 81.52
82.03, 81.26
85.74, 80.95
89.62, 80.71
93.68, 80.40
97.92, 80.14
102.35, 79.87
106.99, 79.50
111.83, 79.22
116.71, 79.02
122.19, 78.61
127.72, 78.26
133.50, 77.90
139.54, 77.52
145.86, 77.17
152.46, 76.68
159.36, 76.17
166.57, 75.54
174.12, 75.35
180.59, 76.45
185.30, 77.79
190.04, 77.09
195.97, 76.39
204.84, 75.84
214.11, 75.36
223.80, 74.94
233.93, 74.57
244.52, 74.18
255.59, 73.84
267.16, 73.50
279.26, 73.16
291.90, 72.83
304.56, 72.61
318.93, 72.22
333.37, 71.87
348.46, 71.56
364.24, 71.27
380.73, 71.01
397.97, 70.67
415.99, 70.37
434.82, 70.08
454.51, 69.80
475.09, 69.56
496.60, 69.25
519.08, 69.02
542.59, 68.73
567.16, 68.52
592.84, 68.27
619.68, 68.04
647.74, 67.83
677.08, 67.65
707.74, 67.46
739.79, 67.34
773.29, 67.13
808.32, 67.04
844.93, 66.98
883.20, 66.98
923.22, 67.08
965.06, 67.30
1008.78, 67.33
1054.49, 67.40
1102.29, 67.76
1152.26, 68.15
1204.49, 68.52
1259.09, 68.88
1316.16, 69.17
1375.81, 69.37
1438.16, 69.59
1503.32, 69.72
1571.44, 69.88
1642.65, 70.04
1717.09, 70.24
1794.91, 70.46
1876.27, 70.79
1961.31, 71.09
2050.22, 71.44
2143.19, 71.96
2240.37, 72.51
2341.98, 73.15
2448.22, 73.87
2559.30, 74.70
2675.43, 75.61
2796.84, 76.54
2923.73, 77.36
3056.31, 77.88
3189.64, 77.64
3339.28, 77.14
3490.33, 76.35
3648.23, 75.62
3813.31, 75.00
3985.81, 74.25
4166.14, 73.55
4354.65, 72.93
4551.73, 72.42
4757.83, 72.16
4991.66, 71.92
5198.55, 71.90
5434.16, 72.15
5680.57, 72.67
5938.30, 73.51
6162.25, 74.73
6324.11, 75.75
6466.41, 77.00
6611.87, 78.17
6760.78, 79.64
6989.76, 80.63
7225.51, 79.92
7386.58, 78.62
7517.94, 77.44
7662.91, 76.22
7833.77, 74.97
8038.19, 73.92
8401.72, 73.02
8782.21, 72.86
9180.56, 73.55
9526.78, 74.78
9922.22, 75.48
10257.23, 75.21
10524.72, 73.96
10759.26, 72.57
10838.33, 71.80
11080.09, 70.66
11216.40, 69.67
11473.60, 68.48
11794.57, 67.24
12237.01, 66.07
12790.76, 65.49
13321.35, 65.89
13782.86, 67.02
14030.75, 68.31
14240.99, 69.62
14400.98, 70.80
14455.50, 71.87
14564.19, 73.21
14782.22, 74.34
14970.59, 75.70
15337.20, 73.54
15426.57, 72.33
15334.40, 71.27
15503.36, 69.80
15616.33, 68.26
15788.24, 66.68
15903.24, 65.10
16019.50, 63.85
16136.94, 62.87
16375.31, 61.57
16495.17, 60.44
16738.95, 59.23
16986.21, 57.92
17236.82, 56.40
17817.81, 55.44
18556.75, 55.72
19279.49, 56.43
19636.38, 54.96
20011.73, 53.21
20622.79, 52.30
20773.41, 50.97
20951.43, 49.95
20949.67, 48.91
21025.25, 47.78
21100.96, 46.57
21177.18, 45.49
21227.09, 44.16
21330.31, 43.26
21407.26, 42.13
21484.39, 40.95
21482.63, 39.93
21639.53, 38.60
21690.33, 37.15
21875.52, 35.75
22007.34, 33.94
22236.64, 32.75
23029.13, 32.06
24065.15, 31.86
23809.70, 33.36
